sample-id	Genotype	anon	Replicates	Day	Treatment
MBC1S	LRV_0_1	DM2015	1	D1	CO
MBC2S	LRV_0_1	DM2015	2	D1	CO
MBC3S	LRV_0_1	DM2015	3	D1	CO
MBC4S	LRV_0_1	DM2015	1	D2	CO
MBC5S	LRV_0_1	DM2015	2	D2	CO
MBC6S	LRV_0_1	DM2015	3	D2	CO
MBC7S	LRV_0_1	DM2015	1	D3	CO
MBC8S	LRV_0_1	DM2015	2	D3	CO
MBC9S	LRV_0_1	DM2015	3	D3	CO
MBC10S	LRV_8-5_3	DM1980	1	D1	CO
MBC11S	LRV_8-5_3	DM1980	2	D1	CO
MBC12A	LRV_8-5_3	DM1980	3	D1	CO
MBC13S	LRV_8-5_3	DM1980	1	D2	CO
MBC14S	LRV_8-5_3	DM1980	2	D2	CO
MBC15AS	LRV_8-5_3	DM1980	3	D2	CO
MBC16S	LRV_8-5_3	DM1980	1	D3	CO
MBC17S	LRV_8-5_3	DM1980	2	D3	CO
MBC18AS	LRV_8-5_3	DM1980	3	D3	CO
MBC19S	LRV_12_3	DM1960	1	D1	CO
MBC20S	LRV_12_3	DM1960	2	D1	CO
MBC21S	LRV_12_3	DM1960	3	D1	CO
MBC22S	LRV_12_3	DM1960	1	D2	CO
MBC23S	LRV_12_3	DM1960	2	D2	CO
MBC24S	LRV_12_3	DM1960	3	D2	CO
MBC25A	LRV_12_3	DM1960	1	D3	CO
MBC26S	LRV_12_3	DM1960	2	D3	CO
MBC27S	LRV_12_3	DM1960	3	D3	CO
MBC28S	LR2_36_1	DM1900	1	D1	CO
MBC29S	LR2_36_1	DM1900	2	D1	CO
MBC30S	LR2_36_1	DM1900	3	D1	CO
MBC31S	LR2_36_1	DM1900	1	D2	CO
MBC32S	LR2_36_1	DM1900	2	D2	CO
MBC33S	LR2_36_1	DM1900	3	D2	CO
MBC34S	LR2_36_1	DM1900	1	D3	CO
MBC35S	LR2_36_1	DM1900	2	D3	CO
MBC36S	LR2_36_1	DM1900	3	D3	CO
MBS1	LRV_0_1	DM2015	1	D1	WW
MBS2	LRV_0_1	DM2015	2	D1	WW
MBS3	LRV_0_1	DM2015	3	D1	WW
MBS4	LRV_0_1	DM2015	1	D2	WW
MBS5	LRV_0_1	DM2015	2	D2	WW
MBS6	LRV_0_1	DM2015	3	D2	WW
MBS7	LRV_0_1	DM2015	1	D3	WW
MBS8	LRV_0_1	DM2015	2	D3	WW
MBS9	LRV_0_1	DM2015	3	D3	WW
MBS10	LRV_8-5_3	DM1980	1	D1	WW
MBS11	LRV_8-5_3	DM1980	2	D1	WW
MBS12	LRV_8-5_3	DM1980	3	D1	WW
MBS13	LRV_8-5_3	DM1980	1	D2	WW
MBS14	LRV_8-5_3	DM1980	2	D2	WW
MBS15	LRV_8-5_3	DM1980	3	D2	WW
MBS16	LRV_8-5_3	DM1980	1	D3	WW
MBS17	LRV_8-5_3	DM1980	2	D3	WW
MBS18	LRV_8-5_3	DM1980	3	D3	WW
MBS19	LRV_12_3	DM1960	1	D1	WW
MBS20	LRV_12_3	DM1960	2	D1	WW
MBS21	LRV_12_3	DM1960	3	D1	WW
MBS22	LRV_12_3	DM1960	1	D2	WW
MBS23		DM1960	2	D2	WW
MBS24	LRV_12_3	DM1960	3	D2	WW
MBS25	LRV_12_3	DM1960	1	D3	WW
MBS26	LRV_12_3	DM1960	2	D3	WW
MBS27	LRV_12_3	DM1960	3	D3	WW
MBT28	LR2_36_1	DM1900	1	D1	WW
MBS29	LR2_36_1	DM1900	2	D1	WW
MBS30		DM1900	3	D1	WW
MBS31	LR2_36_1	DM1900	1	D2	WW
MBS32	LR2_36_1	DM1900	2	D2	WW
MBS33	LR2_36_1	DM1900	3	D2	WW
MBS34	LR2_36_1	DM1900	1	D3	WW
MBS35	LR2_36_1	DM1900	2	D3	WW
MBS36	LR2_36_1	DM1900	3	D3	WW
